               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.030771,            0.010419,           0.0078314,             0.93695,               0.925,             0.95971,             0.48515,            0.021488,           0.0049362,            0.003155,           0.0073666,           0.0073666,           0.0073666
                 135,            0.037276,           0.0083128,           0.0087121,             0.71721,             0.99185,             0.97786,             0.58839,            0.021431,           0.0049315,            0.003243,           0.0073468,           0.0073468,           0.0073468
                 136,            0.036646,           0.0098009,            0.010098,             0.71721,             0.99185,             0.97786,             0.58839,            0.021431,           0.0049315,            0.003243,            0.007327,            0.007327,            0.007327
                 137,            0.031166,           0.0080499,           0.0061557,             0.81055,             0.96434,             0.96414,             0.60183,            0.019438,           0.0048873,           0.0031578,           0.0073072,           0.0073072,           0.0073072
                 138,            0.032789,            0.010474,           0.0077009,             0.67426,             0.97842,             0.99045,             0.59885,            0.023643,           0.0052225,           0.0031022,           0.0072874,           0.0072874,           0.0072874
                 139,            0.038859,           0.0093008,           0.0078543,             0.94836,                   1,               0.995,             0.69028,            0.018365,           0.0048117,           0.0028071,           0.0072676,           0.0072676,           0.0072676
                 140,            0.029307,           0.0097596,           0.0089617,             0.94836,                   1,               0.995,             0.69028,            0.018365,           0.0048117,           0.0028071,           0.0072478,           0.0072478,           0.0072478
                 141,            0.028166,           0.0090265,           0.0097422,              0.9921,                   1,               0.995,             0.71571,            0.014658,           0.0046629,            0.002805,            0.007228,            0.007228,            0.007228
                 142,            0.028678,           0.0088698,           0.0086507,             0.92634,             0.98789,             0.99381,             0.74971,            0.018978,           0.0048633,            0.002786,           0.0072082,           0.0072082,           0.0072082
                 143,            0.029068,           0.0090544,           0.0067884,             0.59755,               0.975,             0.89791,             0.47083,            0.025193,           0.0050862,           0.0028204,           0.0071884,           0.0071884,           0.0071884
                 144,            0.039772,            0.008778,            0.011285,             0.59755,               0.975,             0.89791,             0.47083,            0.025193,           0.0050862,           0.0028204,           0.0071686,           0.0071686,           0.0071686
                 145,             0.03391,           0.0095401,           0.0073408,             0.88505,             0.98805,             0.97136,             0.59343,            0.021006,           0.0048244,           0.0028655,           0.0071488,           0.0071488,           0.0071488
                 146,            0.030886,           0.0075696,           0.0076505,             0.99274,                   1,               0.995,              0.5377,            0.021335,           0.0047167,            0.002884,            0.007129,            0.007129,            0.007129
                 147,            0.032548,           0.0089954,           0.0063326,             0.82692,                0.95,             0.96101,             0.73138,            0.016744,           0.0045755,           0.0029407,           0.0071092,           0.0071092,           0.0071092
                 148,            0.028693,           0.0092267,           0.0065351,             0.82692,                0.95,             0.96101,             0.73138,            0.016744,           0.0045755,           0.0029407,           0.0070894,           0.0070894,           0.0070894
                 149,            0.029063,           0.0095056,           0.0079205,             0.92676,               0.975,             0.97821,             0.62241,             0.01742,           0.0046632,           0.0031117,           0.0070696,           0.0070696,           0.0070696
                 150,            0.030816,           0.0089121,            0.012431,               0.991,               0.975,             0.98852,             0.56772,            0.023101,           0.0047957,           0.0031386,           0.0070498,           0.0070498,           0.0070498
                 151,            0.039003,           0.0092729,           0.0059435,             0.95227,             0.97565,               0.995,             0.76353,            0.016747,           0.0046857,           0.0033736,             0.00703,             0.00703,             0.00703
                 152,             0.02818,            0.009823,           0.0086269,             0.95227,             0.97565,               0.995,             0.76353,            0.016747,           0.0046857,           0.0033736,           0.0070102,           0.0070102,           0.0070102
                 153,            0.028285,           0.0091011,           0.0096998,             0.96053,              0.9978,               0.995,             0.80762,            0.012872,           0.0045302,           0.0035234,           0.0069904,           0.0069904,           0.0069904
                 154,            0.028614,           0.0088314,            0.012246,                   1,             0.97099,               0.995,             0.72132,            0.018862,           0.0047309,           0.0035386,           0.0069706,           0.0069706,           0.0069706
                 155,            0.031556,            0.010457,            0.011263,             0.99383,             0.97749,               0.995,             0.72363,            0.016444,           0.0045611,            0.003441,           0.0069508,           0.0069508,           0.0069508
                 156,            0.029377,           0.0084777,           0.0095248,             0.99383,             0.97749,               0.995,             0.72363,            0.016444,           0.0045611,            0.003441,            0.006931,            0.006931,            0.006931
                 157,            0.027423,           0.0096388,            0.010521,             0.99183,             0.97808,               0.995,               0.789,            0.011897,           0.0043985,           0.0034928,           0.0069112,           0.0069112,           0.0069112
                 158,            0.027443,           0.0083444,           0.0065597,             0.99538,             0.97466,             0.99174,               0.652,            0.018972,           0.0045367,           0.0034955,           0.0068914,           0.0068914,           0.0068914
